Blog	four	looking	second	here	music	until	want	feature	wrong	series	re	wasn	service	needed	project	came	than	release	result	best	asked	much	life	worked	things	had	easy	possible	right	old	people	o	support	call	happy	inside	time	team	love	working	awesome	such	data	years	course	didn	internet	million	quite	open	city	future	san	say	take	ways	going	where	many	wants	photos	technology	being	rest	around	world	favorite	image	her	october	gone	am	original	tv	th	large	small	past	hours	experience	pick	via	company	states	its	always	found	really	research	major	also	play	sometimes	microsoft	set	sex	see	available	last	whole	community	read	recent	person	couple	d	continue	anything	into	link	line	us	ago	having	code	results	try	video	let	great	makes	tools	next	process	high	move	perfect	doing	could	start	system	haven	face	fact	should	hope	means	stuff	edition	email	ve	site	off	less	web	five	become	does	official	chance	worth	announced	above	told	work	interview	after	order	office	them	break	network	created	another	do	away	com	hand	thanks	board	night	comments	post	months	way	update	together	change	live	car	heard	write	product	use	remember	still	now	year	space	shows	care	browser	online	price	only	between	comes	these	media	food	thinking	real	early	using	business	aren	lot	trying	building	since	month	very	learned	family	takes	help	soon	actually	ceo	beyond	event	issue	reason	put	american	mobile	latest	pretty	during	x	close	won	probably	both	else	look	while	used	user	game	popular	run	step	within	doesn	e	go	facebook	michael	click	stage	started	point	links	including	special	keep	exactly	need	able	talk	based	she	written	well	page	twitter	home	he	friends	amp	companies	likely	even	ever	never	tell	give	amazing	answer	before	personal	better	weeks	went	side	mean	content	isn	moving	features	matter	seen	don	m	stop	bar	bad	said	against	appeared	three	make	left	just	human	yes	yet	deal	track	down	weekend	show	finally	did	making	may	man	maybe	nbsp	group	interesting	morning	thing	think	fast	little	anyone	were	especially	enough	black	get	nearly	behind	reading	across	according	mark	those	sound	then	different	pay	same	running	money	either	users	videos	general	again	important	u	public	search	two	share	needs	already	through	good	everyone	house	hard	idea	done	least	part	built	build	tool	most	services	find	please	simply	create	understand	talking	fun	itself	source	big	bit	google	often	back	decision	forward	single	later	control	ll	day	text	value	almost	thought	add	happens	buy	minutes	under	every	school	voice	would	phone	must	me	times	end	over	writing	each	got	free	days	key	top	too	took	though	watch	amazon	report	full	however	news	quickly	several	social	everything	security	why	head	hear	check	no	faster	water	iphone	today	information	name	software	turn	place	coming	released	any	sure	state	review	outside	come	case	myself	someone	week	without	seems	blog	oh	there	longer	program	far	list	design	version	problem	short	might	wouldn	number	feel	says	story	kind	added	nothing	his	hit	him	wrote	art	recently	c	due	questions	customers	question	long	called	once	issues	apple	app	few	women	something	six	instead	looks	our	york	their	which	who	class	local	view	stories	job	gets	other	know	press	because	lead	getting	own	apps	made	whether	book
SimpleBits	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	1	2	0	3	0	1	0	0	1	2	0	0	1	0	0	0	0	0	1	0	1	1	0	0	0	0	0	4	0	0	0	0	0	1	0	0	0	1	0	0	0	1	1	0	0	0	0	0	1	0	2	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	1	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	3	0	3	0	1	0	9	1	1	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	1	0	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	4	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	3	0	1	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0	2	1	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	1	0	0	0	0	1	0	1	0	0	1	0	1	0	0	0	0	1	0	0	1	1	0	0	1	0	0	2	0	0	2	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	7	0	0	1	1	0	0	0	0	0	0	0	1	1	1	0	0	1	0	0	0	0	0	0	1	1	0	0	0	1	3	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	2	0	2	0	8
Publishing 2.0	0	1	1	7	0	0	2	6	1	0	8	0	1	0	2	0	3	0	0	3	1	3	0	0	1	5	1	0	6	1	3	0	1	0	0	0	2	1	0	0	2	0	1	2	1	0	4	1	1	3	1	21	0	1	1	0	3	4	6	0	0	4	2	0	4	2	0	0	0	0	1	6	2	2	0	0	0	0	0	0	0	0	3	0	4	0	1	0	0	2	1	1	1	0	2	0	2	0	4	0	0	1	3	0	0	1	2	0	1	12	0	6	1	0	1	1	0	0	1	6	0	1	2	0	2	0	0	3	8	2	0	2	0	1	4	2	1	1	2	1	5	9	1	1	22	1	4	0	0	0	0	1	0	0	2	0	0	0	0	1	1	2	0	0	2	1	10	0	0	1	0	0	9	1	4	1	1	1	0	0	1	0	1	2	0	3	8	1	2	1	2	2	9	0	1	0	2	5	13	0	2	0	0	2	7	0	3	2	0	2	0	2	0	0	0	2	0	0	0	2	0	0	1	3	0	0	0	0	0	0	0	1	0	2	0	0	3	2	2	2	0	0	1	0	1	2	1	5	0	0	0	1	0	7	0	0	1	2	2	0	1	1	0	0	1	12	6	0	5	0	0	8	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	14	2	0	2	1	0	6	5	1	0	0	1	0	2	3	5	2	4	2	0	1	0	0	2	0	1	1	0	3	3	0	0	0	0	2	0	1	2	5	0	3	0	0	3	0	6	0	1	8	1	1	0	2	0	2	0	1	0	0	3	0	1	0	2	0	7	1	0	1	3	1	3	1	5	1	2	1	1	1	0	1	0	0	0	0	13	1	1	0	0	1	1	0	0	0	0	4	1	9	2	1	0	1	0	0	2	2	0	3	7	1	0	0	1	0	0	0	2	0	0	2	0	0	1	4	2	4	1	1	3	2	3	0	1	2	0	1	0	0	2	5	0	56	0	1	1	3	0	9	3	0	0	6	0	0	0	5	3	1	0	0	0	0	0	3	1	2	0	1	1	2	0	1	5	1	1	6	0	10	1	2	0	0	0	0	1	0	1	0	2	0	0	4	5	1	1	4	0	0	1	0	1	0	1	1	0	4	2	3	0	0	0	0	4	0	0	0	1	1	8	5	7	11	2	0	3	0	9	0	2	7	2	3	5	2	0	2	0	1	1	2
mezzoblue	0	0	0	1	0	0	0	0	0	0	1	1	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	3	0	0	0	0	0	0	1	0	0	0	2	0	1	1	0	1	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	3	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	1	0	0	0	5	2	1	0	3	0	0	1	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	0	1	0	0	0	1	0	0	1	0	1	1	0	0	0	0	2	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	1	0	0	1	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	2	0	0	3	0	0	1	2	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	2	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0
Eschaton	2	1	0	1	0	0	0	0	1	0	0	0	0	0	0	1	2	0	0	1	0	2	0	0	3	2	0	0	1	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	1	0	2	0	0	0	0	1	0	1	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	1	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	3	0	0	0	0	0	2	0	1	1	0	1	0	0	0	1	0	0	1	0	2	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	2	0	0	0	0	0	2	1	0	0	1	0	0	0	0	0	0	1	0	0	0	1	1	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	3	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	2	0	0	0	0	1	1	0	0	2	1	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	2	2	2	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	2	0	2	0	0	1	0	1	0	0	0	1	0	0	0	1	0	2	0	0	0	0	2	0	2	0	0	0	1	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	3	0	0	1	0	0	1	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	2	0	0	1	0	0	0	0	1	1	0	1	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
PerezHilton	0	0	0	5	4	0	0	0	0	0	2	0	0	0	0	0	0	0	1	1	2	1	2	0	0	4	0	0	1	0	3	0	0	1	0	0	1	0	0	0	0	0	0	2	0	0	0	0	1	1	0	0	0	1	0	0	1	1	0	0	2	0	1	0	0	1	0	0	8	0	1	0	0	3	1	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	2	1	0	0	1	0	0	0	0	1	0	0	0	4	5	2	0	1	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	3	0	0	1	0	0	0	0	0	2	0	2	0	0	0	2	0	0	0	1	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	2	0	8	0	2	0	0	2	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	3	0	0	0	2	0	3	0	2	0	1	0	2	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	1	0	2	0	0	0	0	1	0	0	1	0	0	2	3	0	0	0	3	0	1	0	0	0	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	1	1	0	0	0	1	3	0	0	0	0	1	0	0	3	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	1	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	3	1	1	0	0	0	0	0	0	0	1	0	0	0	0	3	0	1	0	0	0	0	0	0	0	7	0	2	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0
Slashdot	3	3	0	0	0	0	0	0	0	0	3	1	1	1	2	0	6	1	0	1	1	3	1	0	1	1	0	1	1	2	13	2	3	2	1	1	4	0	0	5	0	2	7	4	0	1	1	2	1	8	0	0	0	2	4	1	2	1	7	1	1	3	2	0	1	4	0	0	0	1	0	1	0	0	1	0	0	4	0	3	0	0	7	0	11	3	3	4	4	2	2	0	1	2	2	0	1	0	2	0	4	25	0	0	1	2	2	0	7	0	0	2	2	0	7	0	0	0	0	1	2	0	5	1	1	3	2	1	6	0	7	0	0	0	4	0	0	0	0	0	3	0	1	4	2	2	3	2	0	2	0	1	1	1	11	0	4	1	2	3	1	4	1	1	2	1	1	0	0	2	1	2	1	1	0	0	1	2	0	3	0	2	0	4	0	0	6	9	2	0	0	0	1	0	2	2	1	5	0	0	0	0	2	5	2	1	3	1	1	0	3	3	0	1	1	1	2	2	2	1	0	2	0	0	1	2	3	1	1	0	0	1	2	1	0	1	1	2	5	4	3	1	1	0	0	0	2	0	0	0	0	2	1	0	2	0	1	1	3	3	2	1	0	0	3	2	0	1	9	0	1	2	0	3	1	0	1	1	0	0	2	2	1	1	0	0	0	1	0	0	1	0	0	2	0	3	0	0	5	3	0	4	5	1	4	0	1	1	3	0	1	0	2	1	0	0	7	1	0	0	3	1	0	0	2	0	0	1	4	0	0	0	2	0	2	1	2	4	0	4	0	3	1	0	1	0	0	0	2	0	0	0	1	3	3	2	7	2	2	2	4	0	2	3	1	1	1	2	2	0	1	1	7	1	1	1	0	1	3	0	0	3	7	3	0	16	0	2	2	0	1	1	1	1	3	1	0	2	2	0	0	0	0	3	2	0	0	8	0	0	4	2	1	3	0	3	1	2	0	0	0	1	0	1	0	0	1	1	2	1	0	0	1	2	13	2	2	0	0	3	1	0	2	4	2	0	7	0	3	1	2	2	0	3	1	0	1	2	0	0	0	1	2	1	0	3	0	0	1	0	0	1	1	0	1	0	3	0	9	25	3	0	0	8	2	1	0	0	2	1	2	5	0	1	2	3	0	2	9	0	1	0	3	2	0	2	8	0	11	11	5	1	0	1	1	2	0	4	1	0	0	0	1	2	0	4	1	2
Matt Cutts: Gadgets, Google, and SEO	0	1	0	0	0	0	0	0	0	0	4	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	2	0	1	0	0	0	0	2	0	0	0	0	0	1	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	2	0	1	0	0	0	1	0	2	0	1	0	0	2	0	0	0	2	0	0	1	0	0	0	1	0	0	0	0	2	2	0	0	2	0	0	0	0	0	3	0	0	0	1	0	0	1	0	0	0	0	3	5	1	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	1	2	0	0	1	1	0	0	2	0	0	1	2	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	1	1	2	0	0	1	0	0	0	0	0	1	1	0	1	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	5	2	0	1	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	3	0	0	0	0	0	2	0	0	0	0	0	1	1	0	0	0	0	3	0	0	1	0	0	0	0	0	2	1	0	0	2	1	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	2	0	3	0	0	0	0	0	2	7	0	0	1	0	0	0	0	0	0	1	0	0	4	1	0	2	0	0	1	0	0	1	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	1	0	0	0	3	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	1	0	1	0	0	0	0	0	0	1	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	2	0	0	1	1	0	0	0	0	0	0	0	1	0	2	0	0	0	0	2	0	2
Gothamist	2	0	1	3	1	1	0	0	0	0	2	1	1	0	0	1	1	2	0	0	0	1	2	0	2	0	0	2	1	4	6	0	0	1	0	0	2	0	1	0	0	0	0	5	0	1	0	0	0	2	1	1	0	2	1	0	2	2	2	0	2	0	1	1	1	0	0	0	2	0	0	0	1	0	3	0	0	2	0	0	0	1	1	1	2	1	3	1	1	0	5	0	0	0	2	1	0	0	6	0	0	0	1	0	0	1	0	0	4	0	0	5	2	0	0	0	0	3	0	2	0	0	0	0	2	0	2	0	2	2	0	0	1	1	2	0	1	0	0	0	3	1	3	0	0	2	0	0	0	0	0	2	0	0	1	0	2	0	0	3	0	0	0	1	4	0	0	0	1	1	4	0	0	1	2	0	1	0	1	0	2	0	0	0	0	0	8	4	1	1	0	0	0	0	1	1	1	1	0	2	0	0	2	0	0	0	1	2	1	1	1	2	0	0	1	0	0	0	0	0	3	1	0	2	0	0	1	1	1	0	0	1	0	4	0	2	0	0	0	1	0	2	0	0	0	0	1	3	1	0	0	0	0	2	1	0	0	0	0	0	0	1	1	0	2	0	2	0	4	2	0	0	0	1	2	2	0	0	0	0	3	0	1	1	1	1	0	0	0	0	0	0	0	3	1	1	0	2	0	0	0	0	2	1	2	0	0	0	0	0	1	3	1	1	0	1	0	2	0	0	3	0	4	0	0	0	0	0	9	0	1	0	2	2	1	0	0	1	3	1	0	0	0	0	1	1	1	1	1	0	0	0	0	0	0	0	5	0	0	0	2	4	2	2	0	2	0	3	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	1	0	1	0	0	0	0	0	0	1	4	0	0	0	2	0	0	1	0	0	1	0	0	3	2	0	0	1	1	3	0	0	0	0	0	0	2	0	3	1	0	0	2	1	0	0	0	2	0	0	0	2	0	0	0	1	0	1	0	4	0	0	0	0	3	0	3	0	0	0	0	0	0	0	0	0	4	1	0	0	0	7	1	0	0	0	0	0	0	0	2	0	0	0	1	1	1	0	0	6	1	1	0	1	0	0	0	0	1	0	1	2	0	0	0	0	1	0	0	0	0	1	3	2	3	4	5	0	0	0	2	0	1	2	2	0	2	0	0	1	0	2	0	1
we make money not art	0	3	0	1	0	0	0	0	0	1	1	0	0	0	1	1	0	0	0	0	0	0	3	0	0	0	1	0	2	1	5	0	0	0	0	3	2	1	0	4	0	5	0	4	0	0	0	0	0	1	1	1	0	0	1	2	0	2	2	0	1	2	2	0	3	5	0	1	0	0	0	0	0	0	1	0	0	1	0	2	1	3	0	0	7	2	1	2	1	0	2	1	0	0	0	3	2	1	1	0	3	0	0	0	0	0	16	0	4	0	0	9	0	1	0	0	0	3	0	2	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0	1	4	0	1	0	0	0	0	0	0	0	7	2	1	0	0	1	0	0	0	1	1	0	1	1	0	0	0	0	2	1	2	0	1	2	0	2	0	0	0	2	0	0	4	0	3	1	0	0	1	0	3	5	0	4	1	2	0	1	1	3	0	0	0	0	1	2	0	1	0	0	2	1	0	2	0	2	0	3	0	0	0	0	2	0	1	0	0	0	0	0	0	1	0	1	0	0	0	0	1	2	1	2	0	0	0	0	0	0	0	7	0	0	0	0	0	1	0	1	1	0	5	0	0	0	2	0	1	0	0	2	0	1	0	1	0	0	1	1	1	1	1	0	0	1	1	0	1	0	0	0	0	0	0	1	0	3	0	2	3	0	1	3	0	2	0	0	0	0	0	0	0	2	0	0	0	0	4	0	0	1	0	0	0	0	4	1	1	3	0	0	0	0	2	0	1	0	1	2	0	0	0	0	2	0	0	0	1	1	0	0	4	0	2	2	1	0	4	1	2	0	0	0	0	1	0	1	2	0	1	2	2	0	1	2	1	0	0	0	1	1	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	2	0	3	0	1	0	2	0	0	1	2	0	0	0	0	1	2	0	1	4	1	0	0	0	0	0	2	0	1	0	1	0	0	0	2	1	0	0	2	0	0	3	0	0	0	0	0	0	1	1	2	0	1	0	1	0	0	1	0	0	0	2	0	0	0	0	1	1	0	0	3	0	0	0	12	0	0	0	0	0	0	4	1	0	2	0	3	0	1	0	1	1	0	2	1	11	4	3	0	2	0	2	0	0	1	3	1	1	0	0	2	0	1	0	5
Techdirt.	1	6	9	17	14	7	12	1	6	2	30	9	14	3	9	6	25	6	7	4	2	25	10	2	9	48	1	6	17	9	37	35	2	2	1	1	21	3	2	4	5	18	6	22	14	13	26	2	6	7	17	2	4	9	11	3	8	14	16	6	1	11	23	1	14	11	2	8	10	5	0	3	7	11	11	3	5	6	0	3	2	6	14	3	41	5	8	11	3	0	29	3	1	0	14	0	24	9	8	13	2	5	2	5	3	19	8	8	23	7	0	20	10	6	3	4	9	3	8	4	9	5	9	8	14	2	4	15	32	7	10	2	4	17	14	0	9	10	0	38	18	2	15	8	11	5	2	17	3	2	1	1	8	11	20	3	20	14	17	35	1	2	2	14	29	6	6	7	3	3	1	29	14	6	18	3	0	2	3	1	2	1	16	24	2	22	23	8	2	3	4	1	10	10	35	3	3	26	9	2	1	12	4	22	12	7	12	6	5	12	2	18	2	1	1	9	2	24	1	7	6	9	5	3	2	2	1	14	10	1	5	6	5	7	6	5	26	18	3	2	2	3	3	6	33	9	5	0	2	1	2	3	11	1	13	5	13	3	6	7	7	19	9	2	18	12	1	3	79	3	5	14	7	41	10	6	6	4	2	3	11	5	9	3	13	11	4	4	15	1	1	7	6	16	10	7	1	9	28	10	4	11	18	2	72	2	4	14	3	2	15	1	16	5	17	15	20	3	1	0	7	6	0	16	12	7	15	10	39	3	5	2	25	7	2	1	3	4	1	22	24	29	8	15	23	2	13	9	5	3	12	11	3	8	34	6	10	3	3	6	10	13	5	1	6	11	6	8	14	4	2	6	25	9	15	3	7	1	5	6	1	9	0	6	4	3	9	15	8	1	10	8	4	8	9	3	7	14	2	4	2	1	5	20	10	9	1	37	9	6	7	2	16	36	0	1	9	7	7	14	5	10	9	18	2	2	11	5	7	3	2	9	2	6	11	19	1	1	8	58	1	0	3	6	24	3	34	3	7	3	5	61	8	13	3	10	8	22	0	13	23	22	14	1	2	49	2	6	10	4	13	4	13	1	6	5	7	5	12	37	6	7	8	42	2	9	7	3	2	8	3	5	3	3	8	8	4	0	21	0	14	0	20	2	9	2	12	9	47	43	55	1	8	6	8	5	4	46	12	6	27	3	6	22	1	16	7	0
Joi Ito's Web	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	1	2	0	0	0	1	1	0	0	0	0	0	1	1	1	1	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	1	0	1	0	0	0	2	2	1	0	0	0	0	0	1	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	3	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	3	0	0	0	1	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	3	0	0	0	1	0	0	0	2	0	0	1	0	1	1	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	1	1	0	1	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	1	3	0	0	0	0	0	0	1	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	1	1	1	1	0	0	0	1	0	0	0	1	0	1	0	1	0	0	0	3	1	0	2	0	1	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	2	0	0	0	0	1	2	0	0	0	1	0	1	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	2	0	0	0	2	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	4	0	0	0	0	1	0	0	3	0	0	0	2	0	0	0	0	1	0	0	3	0	0	3	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	6
